Account,Txn Date,Value Date,Description,Ref/Cheque No.,Merchant,MCC,Category,Channel,Debit,Credit,Balance
XXXX-XXXX-9876,2019-11-01,2019-11-01,NEFT CR/Salary CREDIT/NOV 2019,NEFT1911S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,98000.00
XXXX-XXXX-9876,2019-11-03,2019-11-03,IMPS DR/RENT/HOME OWNER,IMPS439563,,,Housing,IMPS,23000.00,,75000.00
XXXX-XXXX-9876,2019-11-07,2019-11-07,ELECTRICITY BILL/NDPL/ONLINE,EB29772,,,Utilities,NET,1950.00,,73050.00
XXXX-XXXX-9876,2019-11-08,2019-11-08,WATER BILL/DJB/ONLINE,WB95319,,,Utilities,NET,350.00,,72700.00
XXXX-XXXX-9876,2019-11-14,2019-11-14,CC Payment HDFC Regalia XXXX-4321,NACH961168,,,Debt Payment,NACH,11000.00,,61700.00
XXXX-XXXX-9876,2019-11-10,2019-11-10,POS DR/BIGBASKET/DELHI,POS198702,BigBasket,5411,Groceries,POS,1890.00,,59810.00
XXXX-XXXX-9876,2019-11-17,2019-11-17,POS DR/BIGBASKET/DELHI,POS711097,BigBasket,5411,Groceries,POS,1580.00,,58230.00
XXXX-XXXX-9876,2019-11-24,2019-11-24,POS DR/BIGBASKET/DELHI,POS632084,BigBasket,5411,Groceries,POS,1100.00,,57130.00
XXXX-XXXX-9876,2019-11-15,2019-11-15,POS DR/HPCL FUEL PUMP/DELHI,POS190122,HPCL,5541,Transport,POS,1200.00,,55930.00
XXXX-XXXX-9876,2019-11-28,2019-11-28,POS DR/IOCL FUEL PUMP/DELHI,POS173248,IOCL,5541,Transport,POS,2200.00,,53730.00
XXXX-XXXX-9876,2019-11-05,2019-11-05,POS DR/SWIGGY/FOOD ORDER,POS545140,Swiggy,5814,Dining,POS,890.00,,52840.00
XXXX-XXXX-9876,2019-11-12,2019-11-12,POS DR/SWIGGY/FOOD ORDER,POS967017,Swiggy,5814,Dining,POS,350.00,,52490.00
XXXX-XXXX-9876,2019-11-18,2019-11-18,UPI CR/***@oksbi/Refund,UPI692921,,,Refund,UPI,,1000.00,53490.00
XXXX-XXXX-9876,2019-11-10,2019-11-10,SI POS/NETFLIX.COM/Subscriptions,SI39260,,,Subscriptions,SI,649.00,,52841.00
XXXX-XXXX-9876,2019-11-11,2019-11-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI761259,,,Telecom,UPI,399.00,,52442.00
XXXX-XXXX-9876,2019-11-27,2019-11-27,INT CR/SB INTEREST,INT85642,,,Interest,AUTO,,45.75,52487.75
XXXX-XXXX-9876,2019-12-01,2019-12-01,NEFT CR/Salary CREDIT/DEC 2019,NEFT1912S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,130487.75
XXXX-XXXX-9876,2019-12-03,2019-12-03,IMPS DR/RENT/HOME OWNER,IMPS713984,,,Housing,IMPS,23000.00,,107487.75
XXXX-XXXX-9876,2019-12-07,2019-12-07,ELECTRICITY BILL/NDPL/ONLINE,EB61993,,,Utilities,NET,1600.00,,105887.75
